"139","portlandcenter","ondeck.pdx.edu/portland-center-0","portland-center-0","","5"
"140","mentoringresearch","www.pdx.edu/center-for-internship-mentoring-and-research","center-for-internship-mentoring-and-research","","5"
"141","mohrdyadiclab","www.pdx.edu/mohr-dyadic-lab","mohr-dyadic-lab","","5"
"142","researchplanning","www.pdx.edu/research-planning","research-planning","","5"
"143","studentmedia","www.pdx.edu/student-media","student-media","","5"
"144","studentsuccess","www.pdx.edu/student-success","student-success","","5"
"145","seedbank","www.pdx.edu/seed-bank","seed-bank","","5"
"146","cleantechchallenge","www.pdx.edu/cleantech-challenge","cleantech-challenge","","5"
"147","surplus","www.pdx.edu/surplus","surplus","","5"
"148","internalaudit","www.pdx.edu/internal-audit","internal-audit","","5"
"149","internationalaffairs","www.pdx.edu/international-affairs","international-affairs","","5"
"150","agilerobotics","www.pdx.edu/agile-robotics","agile-robotics","","5"
"151","buildings","www.pdx.edu/buildings","buildings","","5"
"152","alumni","www.pdx.edu/alumni","alumni","","5"
"153","exito","www.pdx.edu/exito","exito","","5"
"154","centerforpublicservice","www.pdx.edu/center-for-public-service","center-for-public-service","","5"
"155","board","www.pdx.edu/board","board","","5"
"156","internationalprograms","ondeck.pdx.edu/international-special-programs-0","international-special-programs-0","","5"
"157","liberalartssciencesit","www.pdx.edu/liberal-arts-sciences-it","liberal-arts-sciences-it","","5"
"158","studentleadership","www.pdx.edu/student-leadership","student-leadership","","5"
"159","studentsustainabilitycenter","www.pdx.edu/student-sustainability-center","student-sustainability-center","","5"
"160","transportationresearch","www.pdx.edu/transportation-research","transportation-research","","5"
"161","youthmentoring","www.pdx.edu/youth-mentoring","youth-mentoring","","5"
