"111","academicinnovation","www.pdx.edu/academic-innovation","academic-innovation","","4"
"112","studentlegalservices","www.pdx.edu/student-legal-services","student-legal-services","","4"
"113","communityenvironmentalservices","www.pdx.edu/community-environmental-services","community-environmental-services","","4"
"114","culturalresourcecenters","www.pdx.edu/cultural-resource-centers","cultural-resource-centers","","4"
"115","generalcounsel","www.pdx.edu/general-counsel","general-counsel","","4"
"116","bikehub","www.pdx.edu/bikehub","bikehub","","4"
"117","reserveofficerstrainingcorp","www.pdx.edu/reserve-officers-training-corps","reserve-officers-training-corps","","4"
"118","studentlife","www.pdx.edu/student-life","student-life","","5"
"119","syndication","ondeck.pdx.edu/syndication","syndication","","5"
"120","facultyexperts","www.pdx.edu/faculty-experts","faculty-experts","","5"
