"9002325","Lincoln","03251,New Hampshire,United States","21163","US","Postal Code","Active"
"9002383","Berlin","03570,New Hampshire,United States","21163","US","Postal Code","Active"
"9002385","Bretton Woods","03575,New Hampshire,United States","21163","US","Postal Code","Active"
"9002386","Colebrook","03576,New Hampshire,United States","21163","US","Postal Code","Active"
"9002391","Jefferson","03583,New Hampshire,United States","21163","US","Postal Code","Active"
"9002462","Jackson","03846,New Hampshire,United States","21163","US","Postal Code","Active"
"9002519","Chebeague Island","04017,Maine,United States","21154","US","Postal Code","Active"
"9002520","Cliff Island","04019,Maine,United States","21154","US","Postal Code","Active"
"9002541","Long Island","04050,Maine,United States","21154","US","Postal Code","Active"
"9002580","Peaks Island","04108,Maine,United States","21154","US","Postal Code","Active"
"9002584","Andover","04216,Maine,United States","21154","US","Postal Code","Active"
"9002591","East Andover","04226,Maine,United States","21154","US","Postal Code","Active"
"9002594","Hanover","04237,Maine,United States","21154","US","Postal Code","Active"
"9002608","Newry","04261,Maine,United States","21154","US","Postal Code","Active"
"9002615","Roxbury","04275,Maine,United States","21154","US","Postal Code","Active"
"9002621","Weld","04285,Maine,United States","21154","US","Postal Code","Active"
"9002622","West Bethel","04286,Maine,United States","21154","US","Postal Code","Active"
"9002650","Abbot","04406,Maine,United States","21154","US","Postal Code","Active"
"9002651","Aurora","04408,Maine,United States","21154","US","Postal Code","Active"
"9002652","Bradford","04410,Maine,United States","21154","US","Postal Code","Active"
"9002653","Bradley","04411,Maine,United States","21154","US","Postal Code","Active"
"9002655","Brookton","04413,Maine,United States","21154","US","Postal Code","Active"
"9002656","Brownville","04414,Maine,United States","21154","US","Postal Code","Active"
"9002658","Burlington","04417,Maine,United States","21154","US","Postal Code","Active"
"9002659","Greenbush","04418,Maine,United States","21154","US","Postal Code","Active"
"9002660","Carmel","04419,Maine,United States","21154","US","Postal Code","Active"
"9002662","Charleston","04422,Maine,United States","21154","US","Postal Code","Active"
"9002663","Danforth","04424,Maine,United States","21154","US","Postal Code","Active"
"9002665","Corinth","04427,Maine,United States","21154","US","Postal Code","Active"
"9002667","Holden","04429,Maine,United States","21154","US","Postal Code","Active"
"9002668","East Millinocket","04430,Maine,United States","21154","US","Postal Code","Active"
"9002669","Etna","04434,Maine,United States","21154","US","Postal Code","Active"
"9002670","Exeter","04435,Maine,United States","21154","US","Postal Code","Active"
"9002672","Greenville","04441,Maine,United States","21154","US","Postal Code","Active"
"9002673","Greenville Junction","04442,Maine,United States","21154","US","Postal Code","Active"
"9002674","Guilford","04443,Maine,United States","21154","US","Postal Code","Active"
"9002676","Howland","04448,Maine,United States","21154","US","Postal Code","Active"
"9002679","Kingman","04451,Maine,United States","21154","US","Postal Code","Active"
"9002681","Lambert Lake","04454,Maine,United States","21154","US","Postal Code","Active"
"9002682","Lee","04455,Maine,United States","21154","US","Postal Code","Active"
"9002684","Lincoln","04457,Maine,United States","21154","US","Postal Code","Active"
"9002685","Mattawamkeag","04459,Maine,United States","21154","US","Postal Code","Active"
"9002686","Medway","04460,Maine,United States","21154","US","Postal Code","Active"
"9002688","Millinocket","04462,Maine,United States","21154","US","Postal Code","Active"
"9002689","Milo","04463,Maine,United States","21154","US","Postal Code","Active"
"9002690","Monson","04464,Maine,United States","21154","US","Postal Code","Active"
"9002692","Orient","04471,Maine,United States","21154","US","Postal Code","Active"
"9002696","Passadumkeag","04475,Maine,United States","21154","US","Postal Code","Active"
"9002698","Rockwood","04478,Maine,United States","21154","US","Postal Code","Active"
"9002701","Shirley Mills","04485,Maine,United States","21154","US","Postal Code","Active"
"9002702","Springfield","04487,Maine,United States","21154","US","Postal Code","Active"
"9002704","Topsfield","04490,Maine,United States","21154","US","Postal Code","Active"
"9002705","Vanceboro","04491,Maine,United States","21154","US","Postal Code","Active"
"9002706","Waite","04492,Maine,United States","21154","US","Postal Code","Active"
"9002707","West Enfield","04493,Maine,United States","21154","US","Postal Code","Active"
"9002708","Winn","04495,Maine,United States","21154","US","Postal Code","Active"
"9002710","Wytopitlock","04497,Maine,United States","21154","US","Postal Code","Active"
"9002716","Chamberlain","04541,Maine,United States","21154","US","Postal Code","Active"
"9002719","Friendship","04547,Maine,United States","21154","US","Postal Code","Active"
"9002740","Addison","04606,Maine,United States","21154","US","Postal Code","Active"
"9002741","Gouldsboro","04607,Maine,United States","21154","US","Postal Code","Active"
"9002742","Bar Harbor","04609,Maine,United States","21154","US","Postal Code","Active"
"9002743","Beals","04611,Maine,United States","21154","US","Postal Code","Active"
"9002744","Bernard","04612,Maine,United States","21154","US","Postal Code","Active"
"9002746","Aibonito","04615,Maine,United States","21154","US","Postal Code","Active"
"9002749","Calais","04619,Maine,United States","21154","US","Postal Code","Active"
"9002750","Cherryfield","04622,Maine,United States","21154","US","Postal Code","Active"
"9002751","Columbia Falls","04623,Maine,United States","21154","US","Postal Code","Active"
"9002752","Corea","04624,Maine,United States","21154","US","Postal Code","Active"
"9002753","Cutler","04626,Maine,United States","21154","US","Postal Code","Active"
"9002754","Deer Isle","04627,Maine,United States","21154","US","Postal Code","Active"
"9002755","Dennysville","04628,Maine,United States","21154","US","Postal Code","Active"
"9002756","East Machias","04630,Maine,United States","21154","US","Postal Code","Active"
"9002757","Eastport","04631,Maine,United States","21154","US","Postal Code","Active"
"9002758","Franklin","04634,Maine,United States","21154","US","Postal Code","Active"
"9002759","Frenchboro","04635,Maine,United States","21154","US","Postal Code","Active"
"9002760","Grand Lake Stream","04637,Maine,United States","21154","US","Postal Code","Active"
"9002761","Hancock","04640,Maine,United States","21154","US","Postal Code","Active"
"9002762","Harrington","04643,Maine,United States","21154","US","Postal Code","Active"
"9002763","Isle Au Haut","04645,Maine,United States","21154","US","Postal Code","Active"
"9002764","Islesford","04646,Maine,United States","21154","US","Postal Code","Active"
"9002765","Jonesboro","04648,Maine,United States","21154","US","Postal Code","Active"
"9002766","Jonesport","04649,Maine,United States","21154","US","Postal Code","Active"
"9002767","Lubec","04652,Maine,United States","21154","US","Postal Code","Active"
"9002768","Bass Harbor","04653,Maine,United States","21154","US","Postal Code","Active"
"9002769","Machias","04654,Maine,United States","21154","US","Postal Code","Active"
"9002770","Machiasport","04655,Maine,United States","21154","US","Postal Code","Active"
"9002771","Meddybemps","04657,Maine,United States","21154","US","Postal Code","Active"
"9002772","Milbridge","04658,Maine,United States","21154","US","Postal Code","Active"
"9002773","Mount Desert","04660,Maine,United States","21154","US","Postal Code","Active"
"9002774","Northeast Harbor","04662,Maine,United States","21154","US","Postal Code","Active"
"9002775","Pembroke","04666,Maine,United States","21154","US","Postal Code","Active"
"9002776","Perry","04667,Maine,United States","21154","US","Postal Code","Active"
"9002777","Princeton","04668,Maine,United States","21154","US","Postal Code","Active"
"9002778","Robbinston","04671,Maine,United States","21154","US","Postal Code","Active"
"9002780","Seal Harbor","04675,Maine,United States","21154","US","Postal Code","Active"
"9002782","Sorrento","04677,Maine,United States","21154","US","Postal Code","Active"
"9002783","Southwest Harbor","04679,Maine,United States","21154","US","Postal Code","Active"
"9002784","Steuben","04680,Maine,United States","21154","US","Postal Code","Active"
"9002787","Swans Island","04685,Maine,United States","21154","US","Postal Code","Active"
"9002788","Wesley","04686,Maine,United States","21154","US","Postal Code","Active"
"9002789","Whiting","04691,Maine,United States","21154","US","Postal Code","Active"
"9002790","Winter Harbor","04693,Maine,United States","21154","US","Postal Code","Active"
"9002791","Baileyville","04694,Maine,United States","21154","US","Postal Code","Active"
"9002792","Houlton","04730,Maine,United States","21154","US","Postal Code","Active"
"9002793","Ashland","04732,Maine,United States","21154","US","Postal Code","Active"
"9002794","Benedicta","04733,Maine,United States","21154","US","Postal Code","Active"
"9002795","Blaine","04734,Maine,United States","21154","US","Postal Code","Active"
"9002796","Bridgewater","04735,Maine,United States","21154","US","Postal Code","Active"
"9002797","Caribou","04736,Maine,United States","21154","US","Postal Code","Active"
"9002798","Eagle Lake","04739,Maine,United States","21154","US","Postal Code","Active"
