"engineering","node/2576","Error: No syndicated Profile ID found.","Referenced Entity Title:  Tong Zhang","Paragraph: 6 13766 featured_profile_block"
"ondeck","node/9701","Error: No syndicated News ID found.","Referenced Entity Title: Career Connections","Paragraph: 3 49641 featured_news_article"
"training","node/176","Error: No syndicated News ID found.","Referenced Entity Title: $2 million gift supports OHSU-PSU School of Public Health","Paragraph: 26 44741 featured_news_article"
"training","node/176","Error: No syndicated Profile ID found.","Referenced Entity Title: Juana Dela Cruz","Paragraph: 27 44746 featured_profile_block"
"training","node/711","Error: No syndicated Profile ID found.","Referenced Entity Title: Jill A Test","Paragraph: 3 5291 featured_profile_block"
