"9017001","Novi","48374,Michigan,United States","21155","US","Postal Code","Active","48376","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Novi","MI","0"
"9017002","Novi","48375,Michigan,United States","21155","US","Postal Code","Active","48376","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Novi","MI","0"
"9017003","Novi","48377,Michigan,United States","21155","US","Postal Code","Active","48376","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Novi","MI","0"
"1019645","Walled Lake","Walled Lake,Michigan,United States","21155","US","City","Active","48391","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Walled Lake","MI","0"
"9017009","Walled Lake","48390,Michigan,United States","21155","US","Postal Code","Active","48391","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Walled Lake","MI","0"
"1019312","Grand Blanc","Grand Blanc,Michigan,United States","21155","US","City","Active","48480","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Grand Blanc","MI","0"
"9017037","Grand Blanc","48439,Michigan,United States","21155","US","Postal Code","Active","48480","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Grand Blanc","MI","0"
"1019634","University Center","University Center,Bay County,Michigan,United States","21155","US","City","Active","48710","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","University Center","MI","0"
"1021859","Gilford","Gilford,New Hampshire,United States","21163","US","City","Active","48736","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Gilford","MI","0"
"9002324","Gilford","03249,New Hampshire,United States","21163","US","Postal Code","Active","48736","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Gilford","MI","0"
"9005352","Richville","13681,New York,United States","21167","US","Postal Code","Active","48758","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Richville","MI","0"
"9020226","Richville","56576,Minnesota,United States","21156","US","Postal Code","Active","48758","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Richville","MI","0"
"1019618","Tawas City","Tawas City,Michigan,United States","21155","US","City","Active","48764","243","Western Michigan - Eradico Pest","19","Eradico","iRIS","Tawas City","MI","0"
"9017180","Tawas City","48763,Michigan,United States","21155","US","Postal Code","Active","48764","243","Western Michigan - Eradico Pest","19","Eradico","iRIS","Tawas City","MI","0"
"1019637","Vassar","Vassar,Michigan,United States","21155","US","City","Active","48769","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Vassar","MI","0"
"9017184","Vassar","48768,Michigan,United States","21155","US","Postal Code","Active","48769","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Vassar","MI","0"
"9023993","Vassar","66543,Kansas,United States","21149","US","Postal Code","Active","48769","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Vassar","MI","0"
"1013158","Alma","Alma,Arkansas,United States","21135","US","City","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"1014431","Alma","Alma,Colorado,United States","21138","US","City","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"1015248","Alma","Alma,Georgia,United States","21143","US","City","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"1017388","Alma","Alma,Kansas,United States","21149","US","City","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"1019122","Alma","Alma,Michigan,United States","21155","US","City","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"1020164","Alma","Alma,Missouri,United States","21157","US","City","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"1021594","Alma","Alma,Nebraska,United States","21162","US","City","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"1022680","Alma","Alma,New York,United States","21167","US","City","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"1027822","Alma","Alma,Wisconsin,United States","21182","US","City","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"9005688","Alma","14708,New York,United States","21167","US","Postal Code","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"9009388","Alma","26320,West Virginia,United States","21183","US","Postal Code","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"9011297","Alma","31510,Georgia,United States","21143","US","Postal Code","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"9017187","Alma","48801,Michigan,United States","21155","US","Postal Code","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"9019253","Alma","54610,Wisconsin,United States","21182","US","Postal Code","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"9022645","Alma","62807,Illinois,United States","21147","US","Postal Code","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"9023156","Alma","64001,Missouri,United States","21157","US","Postal Code","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"9023924","Alma","66401,Kansas,United States","21149","US","Postal Code","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"9024938","Alma","68920,Nebraska,United States","21162","US","Postal Code","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"9026136","Alma","72921,Arkansas,United States","21135","US","Postal Code","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"9028826","Alma","80420,Colorado,United States","21138","US","Postal Code","Active","48802","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Alma","MI","0"
"1019499","Okemos","Okemos,Michigan,United States","21155","US","Neighborhood","Active","48805","242","Lansing - Eradico Pest","19","Eradico","iRIS","Okemos","MI","0"
"9017234","Okemos","48864,Michigan,United States","21155","US","Postal Code","Active","48805","242","Lansing - Eradico Pest","19","Eradico","iRIS","Okemos","MI","0"
