"208","criminaljusticepolicyresearch","ondeck.pdx.edu/criminal-justice-policy-research","criminal-justice-policy-research","","5"
"209","dreamers","www.pdx.edu/dreamers","dreamers","","5"
"210","internationalpartnerships","www.pdx.edu/international-partnerships","international-partnerships","","5"
"211","nonprofitinstitute","www.pdx.edu/nonprofit-institute","nonprofit-institute","","5"
"212","nativeamericancenter","www.pdx.edu/native-american-center","native-american-center","","5"
"213","kahnprejudiceresearchlab","www.pdx.edu/kahn-prejudice-research-lab","kahn-prejudice-research-lab","","5"
"214","firststopportland","www.pdx.edu/first-stop-portland","first-stop-portland","","5"
"215","vietnamoregoninitiative","www.pdx.edu/vietnam-oregon-initiative","vietnam-oregon-initiative","","5"
"216","studentgovernment","www.pdx.edu/student-government","student-government","","5"
"217","healthybuildings","www.pdx.edu/healthy-buildings","healthy-buildings","","5"
"218","nanointerfaces","www.pdx.edu/nano-interfaces","nano-interfaces","","5"
"219","retirementassociation","ondeck.pdx.edu/retirement-association","retirement-association","","5"
"220","herbarium","ondeck.pdx.edu/herbarium","herbarium","","5"
"221","nanodevelopmentlab","www.pdx.edu/nano-development-lab","nano-development-lab","","5"
"222","electronmicroscopy","ondeck.pdx.edu/electron-microscopy","electron-microscopy","","5"
"223","transportationlabt","transportationlabt","transportationlabt","","5"
"224","transportationlab","ondeck.pdx.edu/transportation-lab","transportation-lab","","5"
"225","sustainablefoodsystems","ondeck.pdx.edu/sustainable-food-systems","sustainable-food-systems","","5"
"226","materialsmanufacturingresearch","materialsmanufacturingresearch","materialsmanufacturingresearch","","5"
"227","glaciers","ondeck.pdx.edu/glaciers","glaciers","","5"
"228","centerforlakesandreservoirs","ondeck.pdx.edu/center-for-lakes-and-reservoirs","center-for-lakes-and-reservoirs","","5"
"229","globalengagement","ondeck.pdx.edu/global-engagement","global-engagement","","5"
"230","training","ondeck.pdx.edu/web-training","web-training","","5"
