"1","admissions","www.pdx.edu/admissions","admissions","","1"
"2","gradschool","www.pdx.edu/gradschool","gradschool","","1"
"3","president","www.pdx.edu/president","president","","1"
"4","financialservices","www.pdx.edu/financial-services","financial-services","","1"
"5","registration","www.pdx.edu/registration","registration","","1"
"6","campussafety","www.pdx.edu/campus-safety","campus-safety","","1"
"7","advising","www.pdx.edu/advising","advising","","1"
"8","academicaffairs","www.pdx.edu/academic-affairs","academic-affairs","","1"
"9","psuonline","www.pdx.edu/psu-online","psu-online","","2"
"10","honors","www.pdx.edu/honors","honors","","2"
