"(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","48277","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Detroit","MI","0","yes"
"(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","48278","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Detroit","MI","0","yes"
"(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","48279","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Detroit","MI","0","yes"
"(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","48288","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Detroit","MI","0","yes"
"(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","48303","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Bloomfield Hills","MI","0","yes"
"(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","48311","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Sterling Heights","MI","0","yes"
"(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","48318","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Utica","MI","0","yes"
"(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","48321","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Auburn Hills","MI","0","yes"
"(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","48325","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","West Bloomfield","MI","0","yes"
"(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","48330","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Drayton Plains","MI","0","yes"
"(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","48332","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Farmington","MI","0","yes"
"(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","(not net)","48333","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Farmington","MI","0","yes"
