"9016813","New Haven","48050,Michigan,United States","21155","US","Postal Code","Active","48050","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","New Haven","MI","2068","yes"
"9016814","New Baltimore","48051,Michigan,United States","21155","US","Postal Code","Active","48051","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","New Baltimore","MI","17741","yes"
"9016815","East China","48054,Michigan,United States","21155","US","Postal Code","Active","48054","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","East China","MI","7205","yes"
"9016816","Fort Gratiot","48059,Michigan,United States","21155","US","Postal Code","Active","48059","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Fort Gratiot","MI","15008","yes"
"9016817","Port Huron","48060,Michigan,United States","21155","US","Postal Code","Active","48060","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Port Huron","MI","39830","yes"
"9016818","Richmond","48062,Michigan,United States","21155","US","Postal Code","Active","48062","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Richmond","MI","9539","yes"
"9016819","Columbus","48063,Michigan,United States","21155","US","Postal Code","Active","48063","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Columbus","MI","4006","yes"
"9016820","Casco","48064,Michigan,United States","21155","US","Postal Code","Active","48064","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Casco","MI","4058","yes"
"9016821","Romeo","48065,Michigan,United States","21155","US","Postal Code","Active","48065","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Romeo","MI","11041","yes"
"9016822","Roseville","48066,Michigan,United States","21155","US","Postal Code","Active","48066","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Roseville","MI","47678","yes"
"9016823","Royal Oak","48067,Michigan,United States","21155","US","Postal Code","Active","48067","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Royal Oak","MI","25017","yes"
"9016824","Royal Oak","48068,Michigan,United States","21155","US","Postal Code","Active","48068","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Royal Oak","MI","0","yes"
