"221","nanodevelopmentlab","www.pdx.edu/nano-development-lab","nano-development-lab","","5"
"222","electronmicroscopy","ondeck.pdx.edu/electron-microscopy","electron-microscopy","","5"
"223","transportationlabt","transportationlabt","transportationlabt","","5"
"224","transportationlab","ondeck.pdx.edu/transportation-lab","transportation-lab","","5"
"225","sustainablefoodsystems","ondeck.pdx.edu/sustainable-food-systems","sustainable-food-systems","","5"
"226","materialsmanufacturingresearch","materialsmanufacturingresearch","materialsmanufacturingresearch","","5"
"227","glaciers","ondeck.pdx.edu/glaciers","glaciers","","5"
"228","centerforlakesandreservoirs","ondeck.pdx.edu/center-for-lakes-and-reservoirs","center-for-lakes-and-reservoirs","","5"
"229","globalengagement","ondeck.pdx.edu/global-engagement","global-engagement","","5"
"230","training","ondeck.pdx.edu/web-training","web-training","","5"
