"crit","zip"
"9003129","05822"
"9003130","05824"
"9003131","05825"
"9003132","05826"
"9003133","05827"
"9003134","05828"
"9003135","05829"
"9003136","05830"
"9003137","05832"
"9003138","05833"
"9003139","05836"
"9003140","05837"
"9003141","05839"
"9003142","05840"
"9003143","05841"
"9003144","05842"
"9003145","05843"
"9003146","05845"
"9003147","05846"
"9003148","05847"
"9003149","05850"
"9003150","05851"
"9003151","05853"
"9003152","05855"
"9003153","05857"
"9003154","05858"
"9003155","05859"
"9003156","05860"
"9003157","05862"
"9003158","05866"
"9003159","05867"
"9003160","05871"
"9003161","05872"
"9003162","05873"
"9003163","05874"
"9003164","05875"
"9003165","05902"
"9003166","05903"
"9003167","05904"
"9003168","05905"
"9003169","05906"
"9003170","05907"
"9003171","06001"
"9003172","06002"
"9003173","06010"
"9003174","06013"
"9003175","06016"
"9003176","06018"
"9003177","06019"
"9003178","06021"
"9003179","06023"
"9003180","06024"
"9003181","06026"
"9003182","06027"
"9003183","06029"
"9003184","06030"
"9003185","06031"
"9003186","06032"
"9003187","06033"
"9003188","06035"
"9003189","06037"
"9003190","06039"
"9003191","06040"
"9003192","06041"
"9003193","06042"
"9003194","06043"
"9003195","06051"
"9003196","06052"
"9003197","06053"
"9003198","06057"
"9003199","06058"
"9003200","06060"
"9003201","06061"
"9003202","06062"
"9003203","06063"
"9003204","06065"
"9003205","06066"
"9003206","06067"
"9003207","06068"
"9003208","06069"
"9003209","06070"
"9003210","06071"
"9003211","06073"
"9003212","06074"
