URL,Last crawled
https://www.pdx.edu/urban-studies-planning/blog/cd-student-featured-oregonian,2023-12-12
"https://www.pdx.edu/early-childhood-hub/alliance-minority-participation/health-counseling/news?page=1&tid=PSU 
News",2023-12-12
https://www.pdx.edu/transfer-center/careers/student-finance/disability-resource-center/cultural-resource-centers/recreation/visit/campus-resources,2023-12-12
https://www.pdx.edu/child-language-learning-center/exito/transfer-center/calendar/day?tid=leadership,2023-12-12
https://www.pdx.edu/human-resources/technology/student-employment-requirements,2023-12-12
"https://www.pdx.edu/transportation-lab/alumni/calendar/month?tid=%22arts, 
culture %26 entertainment%22",2023-12-12
https://www.pdx.edu/chemistry/alumni/undergraduate-programs-chemistry-and-biochemistry,2023-12-12
https://www.pdx.edu/early-childhood-hub/student-legal-services/alliance-minority-participation/events/write-your-story-0,2023-12-12
https://www.pdx.edu/environmental-science/visit/esm-undergraduate-honors-program,2023-12-12
https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/admissions/calendar/day?tid=academic,2023-12-12
https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/student-life/news?page=0&tid=health,2023-12-12
https://www.pdx.edu/syndication/health-counseling/news/psu-students-tackle-americas-child-care-crisis-map-system-global-final,2023-12-12
https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/student-life/cultural-resource-centers/calendar/week,2023-12-12
https://www.pdx.edu/early-childhood-hub/transfer-center/news/2023-school-architecture-awards,2023-12-12
https://www.pdx.edu/early-childhood-hub/arts/calendar/day?tid=alumni,2023-12-12
https://www.pdx.edu/early-childhood-hub/diversity/calendar/week?tid=alumni,2023-12-12
https://www.pdx.edu/early-childhood-hub/writing-center/news?page=41,2023-12-12
"https://www.pdx.edu/early-childhood-hub/urban-public-affairs/calendar/week?tid=free 
food",2023-12-12
https://www.pdx.edu/transfer-center/visit/cultural-resource-centers/recreation/admissions/events/re-enrollment-workshop,2023-12-12
"https://www.pdx.edu/turkish-studies-center/social-work/diversity/news?page=0&tid=%22arts, 
culture, entertainment and media%22",2023-12-12
https://www.pdx.edu/early-childhood-hub/disability-resource-center/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s5jq2z,2023-12-12
https://www.pdx.edu/registration/admissions/registration/sites/registration.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s55u75,2023-12-12
"https://www.pdx.edu/child-language-learning-center/disability-resource-center/calendar/day?tid=music 
theater",2023-12-12
https://www.pdx.edu/early-childhood-hub/queer-resource-center/news/grace-dillon-consults-new-horror-movie-antlers,2023-12-12
https://www.pdx.edu/early-childhood-hub/international-students/visit/news?page=1&tid=research,2023-12-12
https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/learning-center/news/renowned-australian-architect-visit-psu-kicking-year-long-project-design-indigenous-center,2023-12-12
