ZIP Code,City,County,Type,Population,ZIP Code
93648,Parlier,Fresno,Standard,16018,93648
93728,Fresno,Fresno,Standard,15945,93728
93640,Mendota,Fresno,Standard,12645,93640
93723,Fresno,Fresno,Standard,12246,93723
93730,Fresno,Fresno,Standard,11693,93730
93646,Orange Cove,Fresno,Standard,10959,93646
93622,Firebaugh,Fresno,Standard,10298,93622
93701,Fresno,Fresno,Standard,10011,93701
93625,Fowler,Fresno,Standard,7715,93625
93656,Riverdale,Fresno,Standard,7345,93656
93721,Fresno,Fresno,Standard,7182,93721
93234,Huron,Fresno,P.O. Box,7028,93234
93609,Caruthers,Fresno,Standard,5668,93609
93660,San Joaquin,Fresno,Standard,4360,93660
93602,Auberry,Fresno,Standard,4284,93602
93650,Fresno,Fresno,Standard,3863,93650
93242,Laton,Fresno,Standard,3352,93242
93675,Squaw Valley,Fresno,Standard,3248,93675
93667,Tollhouse,Fresno,Standard,2877,93667
93616,Del Rey,Fresno,Standard,2726,93616
93626,Friant,Fresno,Standard,1995,93626
93651,Prather,Fresno,Standard,1743,93651
93624,Five Points,Fresno,P.O. Box,1170,93624
93668,Tranquillity,Fresno,Standard,1018,93668
93608,Cantua Creek,Fresno,Standard,973,93608
93606,Biola,Fresno,P.O. Box,774,93606
93664,Shaver Lake,Fresno,Standard,486,93664
93652,Raisin City,Fresno,Standard,373,93652
93628,Hume,Fresno,Standard,220,93628
93627,Helm,Fresno,P.O. Box,198,93627
93641,Miramonte,Fresno,Standard,171,93641
93605,Big Creek,Fresno,P.O. Box,170,93605
93621,Dunlap,Fresno,Standard,155,93621
93634,Lakeshore,Fresno,P.O. Box,24,93634
93607,Burrel,Fresno,P.O. Box,0,93607
93613,Clovis,Fresno,P.O. Box,0,93613
93707,Fresno,Fresno,P.O. Box,0,93707
93708,Fresno,Fresno,P.O. Box,0,93708
93709,Fresno,Fresno,P.O. Box,0,93709
93712,Fresno,Fresno,P.O. Box,0,93712
93714,Fresno,Fresno,P.O. Box,0,93714
93715,Fresno,Fresno,P.O. Box,0,93715
93716,Fresno,Fresno,P.O. Box,0,93716
93717,Fresno,Fresno,P.O. Box,0,93717
93718,Fresno,Fresno,P.O. Box,0,93718
93724,Fresno,Fresno,Unique,0,93724
93729,Fresno,Fresno,P.O. Box,0,93729
93737,Fresno,Fresno,Standard,0,93737
93740,Fresno,Fresno,Unique,0,93740
93741,Fresno,Fresno,Unique,0,93741
93744,Fresno,Fresno,P.O. Box,0,93744
93745,Fresno,Fresno,P.O. Box,0,93745
93747,Fresno,Fresno,P.O. Box,0,93747
93750,Fresno,Fresno,Unique,0,93750
93755,Fresno,Fresno,P.O. Box,0,93755
93760,Fresno,Fresno,Unique,0,93760
93761,Fresno,Fresno,Unique,0,93761
93764,Fresno,Fresno,Unique,0,93764
93765,Fresno,Fresno,Unique,0,93765
93771,Fresno,Fresno,P.O. Box,0,93771
93772,Fresno,Fresno,P.O. Box,0,93772
93773,Fresno,Fresno,P.O. Box,0,93773
93774,Fresno,Fresno,P.O. Box,0,93774
93775,Fresno,Fresno,P.O. Box,0,93775
93776,Fresno,Fresno,P.O. Box,0,93776
93777,Fresno,Fresno,P.O. Box,0,93777
93778,Fresno,Fresno,P.O. Box,0,93778
93779,Fresno,Fresno,P.O. Box,0,93779
93786,Fresno,Fresno,Unique,0,93786
93790,Fresno,Fresno,P.O. Box,0,93790
93791,Fresno,Fresno,P.O. Box,0,93791
93792,Fresno,Fresno,P.O. Box,0,93792
93793,Fresno,Fresno,P.O. Box,0,93793
93794,Fresno,Fresno,P.O. Box,0,93794
93844,Fresno,Fresno,Unique,0,93844
93888,Fresno,Fresno,Unique,0,93888
93642,Mono Hot Springs,Fresno,P.O. Box,0,93642
93649,Piedra,Fresno,P.O. Box,0,93649
95963,Orland,Glenn,Standard,14720,95963
95988,Willows,Glenn,Standard,8655,95988
95951,Hamilton City,Glenn,P.O. Box,3063,95951
95943,Glenn,Glenn,Standard,834,95943
95939,Elk Creek,Glenn,Standard,695,95939
95920,Butte City,Glenn,Standard,350,95920
95913,Artois,Glenn,P.O. Box,0,95913
95503,Eureka,Humboldt,Standard,25215,95503
95501,Eureka,Humboldt,Standard,23624,95501
95521,Arcata,Humboldt,Standard,21311,95521
95519,Mckinleyville,Humboldt,Standard,19328,95519
95540,Fortuna,Humboldt,Standard,14001,95540
95546,Hoopa,Humboldt,Standard,3542,95546
95562,Rio Dell,Humboldt,Standard,3447,95562
95536,Ferndale,Humboldt,Standard,3112,95536
95570,Trinidad,Humboldt,Standard,2253,95570
95542,Garberville,Humboldt,Standard,1831,95542
95560,Redway,Humboldt,Standard,1787,95560
95524,Bayside,Humboldt,Standard,1735,95524
95525,Blue Lake,Humboldt,Standard,1497,95525
95551,Loleta,Humboldt,Standard,1468,95551
95573,Willow Creek,Humboldt,Standard,1449,95573
95528,Carlotta,Humboldt,Standard,1254,95528
95589,Whitethorn,Humboldt,Standard,1036,95589
95553,Miranda,Humboldt,P.O. Box,1030,95553
95547,Hydesville,Humboldt,Standard,1004,95547
95565,Scotia,Humboldt,Standard,946,95565
95549,Kneeland,Humboldt,Standard,880,95549
95556,Orleans,Humboldt,P.O. Box,706,95556
95558,Petrolia,Humboldt,Standard,436,95558
95564,Samoa,Humboldt,Standard,380,95564
95555,Orick,Humboldt,Standard,340,95555
95569,Redcrest,Humboldt,Standard,308,95569
95571,Weott,Humboldt,P.O. Box,307,95571
95554,Myers Flat,Humboldt,Standard,264,95554
95511,Alderpoint,Humboldt,Standard,240,95511
95526,Bridgeville,Humboldt,Standard,222,95526
95514,Blocksburg,Humboldt,Standard,169,95514
95537,Fields Landing,Humboldt,P.O. Box,147,95537
95550,Korbel,Humboldt,Standard,123,95550
95545,Honeydew,Humboldt,P.O. Box,112,95545
95559,Phillipsville,Humboldt,P.O. Box,93,95559
95518,Arcata,Humboldt,P.O. Box,0,95518
95534,Cutten,Humboldt,P.O. Box,0,95534
95502,Eureka,Humboldt,P.O. Box,0,95502
92243,El Centro,Imperial,Standard,49915,92243
92231,Calexico,Imperial,Standard,40054,92231
92227,Brawley,Imperial,Standard,27358,92227
92251,Imperial,Imperial,Standard,22813,92251
92250,Holtville,Imperial,Standard,8689,92250
92249,Heber,Imperial,Standard,8166,92249
92233,Calipatria,Imperial,Standard,7653,92233
92281,Westmorland,Imperial,Standard,2576,92281
92275,Salton City,Imperial,P.O. Box,2139,92275
92283,Winterhaven,Imperial,Standard,1970,92283
92273,Seeley,Imperial,P.O. Box,1665,92273
92257,Niland,Imperial,Standard,1610,92257
92259,Ocotillo,Imperial,P.O. Box,181,92259
92266,Palo Verde,Imperial,P.O. Box,103,92266
92222,Bard,Imperial,P.O. Box,0,92222
92232,Calexico,Imperial,P.O. Box,0,92232
92244,El Centro,Imperial,P.O. Box,0,92244
93514,Bishop,Inyo,Standard,14574,93514
93545,Lone Pine,Inyo,Standard,1818,93545
93513,Big Pine,Inyo,Standard,1715,93513
93526,Independence,Inyo,Standard,640,93526
92328,Death Valley,Inyo,Standard,320,92328
93549,Olancha,Inyo,P.O. Box,250,93549
92389,Tecopa,Inyo,P.O. Box,153,92389
93522,Darwin,Inyo,P.O. Box,34,93522
92384,Shoshone,Inyo,P.O. Box,17,92384
93530,Keeler,Inyo,P.O. Box,10,93530
93515,Bishop,Inyo,P.O. Box,0,93515
93542,Little Lake,Inyo,P.O. Box,0,93542
93307,Bakersfield,Kern,Standard,84948,93307
93306,Bakersfield,Kern,Standard,70208,93306
93309,Bakersfield,Kern,Standard,60893,93309
93312,Bakersfield,Kern,Standard,59359,93312
93215,Delano,Kern,Standard,55845,93215
93308,Bakersfield,Kern,Standard,54042,93308
93313,Bakersfield,Kern,Standard,51245,93313
93304,Bakersfield,Kern,Standard,50787,93304
93311,Bakersfield,Kern,Standard,44862,93311
93305,Bakersfield,Kern,Standard,39114,93305
93561,Tehachapi,Kern,Standard,34271,93561
93555,Ridgecrest,Kern,Standard,34075,93555
93280,Wasco,Kern,Standard,27552,93280
93314,Bakersfield,Kern,Standard,26992,93314
93203,Arvin,Kern,Standard,22471,93203
93560,Rosamond,Kern,Standard,20797,93560
93263,Shafter,Kern,Standard,20710,93263
93268,Taft,Kern,Standard,17620,93268
93241,Lamont,Kern,Standard,16969,93241
93250,Mc Farland,Kern,Standard,15523,93250
93505,California City,Kern,Standard,13445,93505
93301,Bakersfield,Kern,Standard,12345,93301
93240,Lake Isabella,Kern,Standard,6960,93240
93225,Frazier Park,Kern,Standard,5319,93225
93501,Mojave,Kern,Standard,5063,93501
93523,Edwards,Kern,Standard,3312,93523
93252,Maricopa,Kern,Standard,3188,93252
93516,Boron,Kern,Standard,2425,93516
93249,Lost Hills,Kern,Standard,2264,93249
93283,Weldon,Kern,Standard,2086,93283
93206,Buttonwillow,Kern,Standard,2044,93206
93527,Inyokern,Kern,Standard,1852,93527
93285,Wofford Heights,Kern,Standard,1723,93285
93243,Lebec,Kern,Standard,1709,93243
93205,Bodfish,Kern,Standard,1593,93205
93222,Pine Mountain Club,Kern,P.O. Box,1420,93222
93238,Kernville,Kern,Standard,1408,93238
93518,Caliente,Kern,Standard,995,93518
93255,Onyx,Kern,Standard,707,93255
93531,Keene,Kern,Standard,422,93531
93224,Fellows,Kern,Standard,402,93224
93220,Edison,Kern,P.O. Box,313,93220
93251,Mc Kittrick,Kern,Standard,243,93251
93558,Red Mountain,Kern,P.O. Box,221,93558
93226,Glennville,Kern,Standard,195,93226
93524,Edwards,Kern,Unique,168,93524
93276,Tupman,Kern,P.O. Box,159,93276
93554,Randsburg,Kern,P.O. Box,143,93554
93528,Johannesburg,Kern,P.O. Box,124,93528
93287,Woody,Kern,Standard,74,93287
93519,Cantil,Kern,P.O. Box,28,93519
93302,Bakersfield,Kern,P.O. Box,0,93302
93303,Bakersfield,Kern,P.O. Box,0,93303
93380,Bakersfield,Kern,P.O. Box,0,93380
93383,Bakersfield,Kern,P.O. Box,0,93383
93384,Bakersfield,Kern,P.O. Box,0,93384
93385,Bakersfield,Kern,P.O. Box,0,93385
93386,Bakersfield,Kern,P.O. Box,0,93386
93387,Bakersfield,Kern,P.O. Box,0,93387
93388,Bakersfield,Kern,P.O. Box,0,93388
93389,Bakersfield,Kern,P.O. Box,0,93389
93390,Bakersfield,Kern,P.O. Box,0,93390
93596,Boron,Kern,P.O. Box,0,93596
93504,California City,Kern,P.O. Box,0,93504
93216,Delano,Kern,P.O. Box,0,93216
93502,Mojave,Kern,P.O. Box,0,93502
93556,Ridgecrest,Kern,P.O. Box,0,93556
93581,Tehachapi,Kern,P.O. Box,0,93581
93230,Hanford,Kings,Standard,66235,93230
93245,Lemoore,Kings,Standard,37907,93245
93212,Corcoran,Kings,Standard,24384,93212
93204,Avenal,Kings,Standard,13119,93204
93202,Armona,Kings,Standard,3684,93202
93239,Kettleman City,Kings,Standard,1688,93239
93266,Stratford,Kings,Standard,1440,93266
93232,Hanford,Kings,P.O. Box,0,93232
93246,Lemoore,Kings,Unique,0,93246
95422,Clearlake,Lake,Standard,15360,95422
95451,Kelseyville,Lake,Standard,12016,95451
95453,Lakeport,Lake,Standard,10717,95453
95467,Hidden Valley Lake,Lake,Standard,5735,95467
95423,Clearlake Oaks,Lake,Standard,3818,95423
95458,Lucerne,Lake,Standard,3162,95458
95457,Lower Lake,Lake,Standard,3058,95457
95485,Upper Lake,Lake,Standard,2728,95485
95464,Nice,Lake,Standard,2634,95464
95461,Middletown,Lake,Standard,2497,95461
95426,Cobb,Lake,P.O. Box,1531,95426
95443,Glenhaven,Lake,Standard,311,95443
95493,Witter Springs,Lake,Standard,218,95493
95435,Finley,Lake,P.O. Box,179,95435
95424,Clearlake Park,Lake,P.O. Box,0,95424
96130,Susanville,Lassen,Standard,20479,96130
96137,Westwood,Lassen,Standard,3601,96137
96114,Janesville,Lassen,Standard,3266,96114
96113,Herlong,Lassen,P.O. Box,2078,96113
96128,Standish,Lassen,Standard,811,96128
96109,Doyle,Lassen,Standard,678,96109
96009,Bieber,Lassen,P.O. Box,366,96009
96121,Milford,Lassen,Standard,335,96121
96117,Litchfield,Lassen,Standard,332,96117
96068,Nubieber,Lassen,P.O. Box,158,96068
96132,Termo,Lassen,Standard,122,96132
96119,Madeline,Lassen,P.O. Box,76,96119
96123,Ravendale,Lassen,Standard,40,96123
96136,Wendel,Lassen,Standard,38,96136
96127,Susanville,Lassen,P.O. Box,0,96127
90011,Los Angeles,Los Angeles,Standard,108051,90011
90650,Norwalk,Los Angeles,Standard,106404,90650
91331,Pacoima,Los Angeles,Standard,105696,91331
90201,Bell Gardens,Los Angeles,Standard,102878,90201
90250,Hawthorne,Los Angeles,Standard,97371,90250
91342,Sylmar,Los Angeles,Standard,96177,91342
90805,Long Beach,Los Angeles,Standard,96069,90805
90280,South Gate,Los Angeles,Standard,95420,90280
90044,Los Angeles,Los Angeles,Standard,94680,90044
91744,La Puente,Los Angeles,Standard,86982,91744
91335,Reseda,Los Angeles,Standard,79687,91335
90706,Bellflower,Los Angeles,Standard,77852,90706
91706,Baldwin Park,Los Angeles,Standard,77819,91706
93550,Palmdale,Los Angeles,Standard,75774,93550
90255,Huntington Park,Los Angeles,Standard,75636,90255
93535,Lancaster,Los Angeles,Standard,73728,93535
91766,Pomona,Los Angeles,Standard,72787,91766
91402,Panorama City,Los Angeles,Standard,71317,91402
90262,Lynwood,Los Angeles,Standard,71306,90262
93536,Lancaster,Los Angeles,Standard,71303,93536
90003,Los Angeles,Los Angeles,Standard,70490,90003
90026,Los Angeles,Los Angeles,Standard,68609,90026
90022,Los Angeles,Los Angeles,Standard,67446,90022
90019,Los Angeles,Los Angeles,Standard,67415,90019
91343,North Hills,Los Angeles,Standard,65964,91343
91770,Rosemead,Los Angeles,Standard,63981,91770
90042,Los Angeles,Los Angeles,Standard,63788,90042
90660,Pico Rivera,Los Angeles,Standard,63694,90660
91732,El Monte,Los Angeles,Standard,63557,91732
90640,Montebello,Los Angeles,Standard,63547,90640
90037,Los Angeles,Los Angeles,Standard,63238,90037
90004,Los Angeles,Los Angeles,Standard,62733,90004
90006,Los Angeles,Los Angeles,Standard,62329,90006
90731,San Pedro,Los Angeles,Standard,61789,90731
91702,Azusa,Los Angeles,Standard,61739,91702
90813,Long Beach,Los Angeles,Standard,60935,90813
90066,Los Angeles,Los Angeles,Standard,59747,90066
90001,Los Angeles,Los Angeles,Standard,58738,90001
90745,Carson,Los Angeles,Standard,57219,90745
90744,Wilmington,Los Angeles,Standard,56779,90744
91406,Van Nuys,Los Angeles,Standard,56200,91406
90034,Los Angeles,Los Angeles,Standard,56070,90034
90723,Paramount,Los Angeles,Standard,55020,90723
91801,Alhambra,Los Angeles,Standard,54928,91801
91405,Van Nuys,Los Angeles,Standard,54770,91405
90221,Compton,Los Angeles,Standard,54259,90221
91745,Hacienda Heights,Los Angeles,Standard,54166,91745
91304,Canoga Park,Los Angeles,Standard,53627,91304
90063,Los Angeles,Los Angeles,Standard,53556,90063
91344,Granada Hills,Los Angeles,Standard,53453,91344
90002,Los Angeles,Los Angeles,Standard,52856,90002
91605,North Hollywood,Los Angeles,Standard,52386,91605
90018,Los Angeles,Los Angeles,Standard,52287,90018
93551,Palmdale,Los Angeles,Standard,51896,93551
90220,Compton,Los Angeles,Standard,51713,90220
90046,Los Angeles,Los Angeles,Standard,51615,90046
90703,Cerritos,Los Angeles,Standard,50877,90703
90638,La Mirada,Los Angeles,Standard,49797,90638
90024,Los Angeles,Los Angeles,Standard,49718,90024
91306,Winnetka,Los Angeles,Standard,49551,91306
91767,Pomona,Los Angeles,Standard,49492,91767
90057,Los Angeles,Los Angeles,Standard,49389,90057
90033,Los Angeles,Los Angeles,Standard,48841,90033
90047,Los Angeles,Los Angeles,Standard,48491,90047
