Criteria ID,Name ,CName,Parent ID,Country Code,Target Type ,Status,Zip Code,District,Name,Region,Brand,System,City,State,Population,New Res.
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48325,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,West Bloomfield,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48330,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Drayton Plains,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48332,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Farmington,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48333,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Farmington,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48347,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Clarkston,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48361,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Lake Orion,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48366,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Lakeville,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48376,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Novi,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48387,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Union Lake,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48391,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Walled Lake,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48397,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Warren,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48480,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Grand Blanc,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48501,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Flint,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48531,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Flint,MI,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),48559,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Flint,MI,0,yes
