educational_leadership:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=f5749746-c37a-4bc1-911a-8214f8898089','f5749746-c37a-4bc1-911a-8214f8898089',TRUE,
educational_leadership:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=4e1198ec-4800-4790-973c-09f6f616b31e','4e1198ec-4800-4790-973c-09f6f616b31e',TRUE,
educational_leadership:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=5e6120f6-f873-479c-a0c7-00b626dead17','5e6120f6-f873-479c-a0c7-00b626dead17',TRUE,
educational_leadership:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=4154c35d-bce7-43b5-a667-e8c7362622af','4154c35d-bce7-43b5-a667-e8c7362622af',TRUE,
service_learning:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=371098da-8038-444d-a6a4-0a44b7cd8ab4','371098da-8038-444d-a6a4-0a44b7cd8ab4',TRUE,
student_affairs_higher_education:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=71101a95-310d-472d-bb23-cc318e653d70','71101a95-310d-472d-bb23-cc318e653d70',TRUE,
sustainable_food_systems:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=3b87d16b-afcd-4153-98dd-855ad7fd36b5','3b87d16b-afcd-4153-98dd-855ad7fd36b5',TRUE,
teaching_adult_learners:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=e095cbf7-3cab-40a8-82fa-9f651b39a9a3','e095cbf7-3cab-40a8-82fa-9f651b39a9a3',TRUE,
training_and_development:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=6af65391-1e2b-4b08-835d-29c5cf5fb1b8','6af65391-1e2b-4b08-835d-29c5cf5fb1b8',TRUE,
https://www.pdx.edu/education/:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=68c42b3d-126c-4b95-a72d-4fbd355b6ed1','68c42b3d-126c-4b95-a72d-4fbd355b6ed1',TRUE,
Replaced by LEEP.:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=26c8c5ed-1ef6-47f2-ba4c-f30fc1037753','26c8c5ed-1ef6-47f2-ba4c-f30fc1037753',TRUE,
graduate_teacher_education_program:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=d0fcd689-6011-47d8-b629-d543407bc843','d0fcd689-6011-47d8-b629-d543407bc843',TRUE,
infanttoddler_mental_health:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=334517d4-e1eb-404a-bb09-6d2e2e86cdf1','334517d4-e1eb-404a-bb09-6d2e2e86cdf1',TRUE,
https://www.pdx.edu/education/itep:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=39db7ae8-72dc-4d2f-abbb-013cc008946c','39db7ae8-72dc-4d2f-abbb-013cc008946c',TRUE,
https://www.pdx.edu/education/itep:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=2737c0c2-36f8-4e65-acf2-c378b860cdbd','2737c0c2-36f8-4e65-acf2-c378b860cdbd',TRUE,
https://www.pdx.edu/education/itep:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=8fb5e4bf-eb74-4b0a-aa92-f2f09794a067','8fb5e4bf-eb74-4b0a-aa92-f2f09794a067',TRUE,
https://www.pdx.edu/education/om:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=9486b978-7a2f-48c9-8081-d49743a1dfb5','9486b978-7a2f-48c9-8081-d49743a1dfb5',TRUE,
https://www.pdx.edu/education/readoregon:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=3207b7b6-fae7-42d0-9a44-35c32137b57f','3207b7b6-fae7-42d0-9a44-35c32137b57f',TRUE,
special_education:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=25a4a5fc-c1b8-42cb-8de0-7d71048e64f5','25a4a5fc-c1b8-42cb-8de0-7d71048e64f5',TRUE,
:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=c989d8e4-48b8-435b-a4be-e47103cf65e8','c989d8e4-48b8-435b-a4be-e47103cf65e8',TRUE,
:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=7945a12b-49ef-44db-826a-fd000a624b47','7945a12b-49ef-44db-826a-fd000a624b47',TRUE,
early_intervention_special_education:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=c355384e-7eb6-4985-b405-6e1c3f5e17c5','c355384e-7eb6-4985-b405-6e1c3f5e17c5',TRUE,
early_intervention_special_education:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=71a943f5-51bf-48e4-866e-9f21914a4152','71a943f5-51bf-48e4-866e-9f21914a4152',TRUE,
early_intervention_special_education:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=7b0c180b-7362-4846-8c48-2ceb28eed7c4','7b0c180b-7362-4846-8c48-2ceb28eed7c4',TRUE,
https://www.pdx.edu/education/ieep:,'https://apply.pdx.edu/register/grad?sys:field:gr_acad_int=d9c9e81a-f09a-4d94-8f49-fe8855a33aaf','d9c9e81a-f09a-4d94-8f49-fe8855a33aaf',TRUE,
